sample_id	construct	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
1	CH65	a	1	6	1	CH65_a_1_1	1	1	1	1	2845
2	CH65	a	1	6	2	CH65_a_1_2	1	2	1	2	530580
3	CH65	a	1	6	3	CH65_a_1_3	1	3	1	3	505318
4	CH65	a	1	6	4	CH65_a_1_4	1	4	1	4	475777
5	CH65	a	2	6.75	1	CH65_a_2_1	1	5	1	5	3630
6	CH65	a	2	6.75	2	CH65_a_2_2	1	6	1	6	512756
7	CH65	a	2	6.75	3	CH65_a_2_3	1	7	1	7	522941
8	CH65	a	2	6.75	4	CH65_a_2_4	1	8	1	8	516372
9	CH65	a	3	7.5	1	CH65_a_3_1	1	9	2	1	5260
10	CH65	a	3	7.5	2	CH65_a_3_2	1	10	2	2	520024
11	CH65	a	3	7.5	3	CH65_a_3_3	1	11	2	3	440827
12	CH65	a	3	7.5	4	CH65_a_3_4	1	12	2	4	546012
13	CH65	a	4	8.25	1	CH65_a_4_1	1	13	2	5	5066
14	CH65	a	4	8.25	2	CH65_a_4_2	1	14	2	6	532657
15	CH65	a	4	8.25	3	CH65_a_4_3	1	15	2	7	501334
16	CH65	a	4	8.25	4	CH65_a_4_4	1	16	2	8	540613
17	CH65	a	5	9	1	CH65_a_5_1	1	17	6	1	10688
18	CH65	a	5	9	2	CH65_a_5_2	1	18	6	2	550140
19	CH65	a	5	9	3	CH65_a_5_3	1	19	6	3	535193
20	CH65	a	5	9	4	CH65_a_5_4	1	20	6	4	498947
21	CH65	a	6	9.75	1	CH65_a_6_1	1	21	6	5	29217
22	CH65	a	6	9.75	2	CH65_a_6_2	1	22	6	6	383932
23	CH65	a	6	9.75	3	CH65_a_6_3	1	23	6	7	401779
24	CH65	a	6	9.75	4	CH65_a_6_4	1	24	6	8	372011
25	CH65	a	7	10.5	1	CH65_a_7_1	2	1	7	1	175412
26	CH65	a	7	10.5	2	CH65_a_7_2	2	2	7	2	356100
27	CH65	a	7	10.5	3	CH65_a_7_3	2	3	7	3	350468
28	CH65	a	7	10.5	4	CH65_a_7_4	2	4	7	4	356877
29	CH65	a	8	11.25	1	CH65_a_8_1	2	5	7	5	396626
30	CH65	a	8	11.25	2	CH65_a_8_2	2	6	7	6	178479
31	CH65	a	8	11.25	3	CH65_a_8_3	2	7	7	7	200855
32	CH65	a	8	11.25	4	CH65_a_8_4	2	8	7	8	175416
33	CH65	a	9	12	1	CH65_a_9_1	2	9	9	1	681312
34	CH65	a	9	12	2	CH65_a_9_2	2	10	9	2	31374
35	CH65	a	9	12	3	CH65_a_9_3	2	11	9	3	39136
36	CH65	a	9	12	4	CH65_a_9_4	2	12	9	4	36423
37	CH65	a	0	0	1	CH65_a_0_1	2	13	9	5	1371248
38	CH65	a	0	0	2	CH65_a_0_2	2	14	9	6	574
39	CH65	a	0	0	3	CH65_a_0_3	2	15	9	7	330
40	CH65	a	0	0	4	CH65_a_0_4	2	16	9	8	318
41	CH65	a	F		1	CH65_a_F_1	2	17	10	1	405002
42	CH65	a	F		2	CH65_a_F_2	2	18	10	2	424707
43	CH65	a	F		3	CH65_a_F_3	2	19	10	3	431640
44	CH65	a	F		4	CH65_a_F_4	2	20	10	4	325246
45	CH65	a	unsorted		1	CH65_a_unsorted	2	21	10	5	0
